pair,language,direction,edited_path,baseline_path,edited_shape,baseline_shape,used_shape,cosine,pearson,mse
1pl-2pl,catalan,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_1plto2pl_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_1plto2pl_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.987938439902068,0.987714072431651,6.26404062131769e-06
1pl-2pl,catalan,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_2plto1pl_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/catalan/attn_head_out_all_pos_patch_results_2plto1pl_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9693800633358488,0.9681120735873292,1.9890627299901098e-05
1pl-2pl,english,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_1plto2pl_english.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_1plto2pl_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9892745202514007,0.98950653004698,1.1630251719907392e-05
1pl-2pl,english,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_2plto1pl_english.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/english/attn_head_out_all_pos_patch_results_2plto1pl_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9923172964461616,0.9926432704679904,9.277358003600966e-06
1pl-2pl,french,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_1plto2pl_french.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_1plto2pl_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9877447714489623,0.9871135866009729,1.0388259397586808e-05
1pl-2pl,french,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_2plto1pl_french.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/french/attn_head_out_all_pos_patch_results_2plto1pl_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9964434245173718,0.9962942237440991,1.2018572306260467e-05
1pl-2pl,italian,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_1plto2pl_italian.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_1plto2pl_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9683208094316964,0.9678664160837726,0.006510784849524498
1pl-2pl,italian,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_2plto1pl_italian.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/italian/attn_head_out_all_pos_patch_results_2plto1pl_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9311154237494549,0.9312322294922238,0.00010099497012561187
1pl-2pl,portuguese,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_1plto2pl_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_1plto2pl_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9921880917599957,0.992365876418374,0.0006267200806178153
1pl-2pl,portuguese,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_2plto1pl_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/portuguese/attn_head_out_all_pos_patch_results_2plto1pl_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9901746486625408,0.9901434695770259,2.2427573640015908e-05
1pl-2pl,spanish,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_1plto2pl_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_1plto2pl_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9924741295178259,0.9928961503541287,0.0038157349918037653
1pl-2pl,spanish,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_2plto1pl_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/spanish/attn_head_out_all_pos_patch_results_2plto1pl_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9955843344075348,0.9956613338356284,9.103448064706754e-06
1pl-2pl,swedish,patch_results_1plto2pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/swedish/attn_head_out_all_pos_patch_results_1plto2pl_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/swedish/attn_head_out_all_pos_patch_results_1plto2pl_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9770778858815429,0.9769482186064864,0.00045825145207345486
1pl-2pl,swedish,patch_results_2plto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1pl-2pl/swedish/attn_head_out_all_pos_patch_results_2plto1pl_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1pl-2pl/swedish/attn_head_out_all_pos_patch_results_2plto1pl_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9721490293659728,0.9723865150408485,0.00047638671821914613
1sg-1pl,catalan,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/catalan/attn_head_out_all_pos_patch_results_1plto1sg_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/catalan/attn_head_out_all_pos_patch_results_1plto1sg_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9933755924244212,0.9930868845768256,2.7292037430015625e-06
1sg-1pl,catalan,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/catalan/attn_head_out_all_pos_patch_results_1sgto1pl_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/catalan/attn_head_out_all_pos_patch_results_1sgto1pl_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.8377945296179953,0.841172242527976,0.0002453392662573606
1sg-1pl,english,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/english/attn_head_out_all_pos_patch_results_1plto1sg_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/english/attn_head_out_all_pos_patch_results_1plto1sg_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9952497590338005,0.9955468966913701,5.040240012021968e-06
1sg-1pl,english,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/english/attn_head_out_all_pos_patch_results_1sgto1pl_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/english/attn_head_out_all_pos_patch_results_1sgto1pl_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9942176353662899,0.9944117055058594,3.42033599736169e-05
1sg-1pl,french,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/french/attn_head_out_all_pos_patch_results_1plto1sg_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/french/attn_head_out_all_pos_patch_results_1plto1sg_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9829387379899016,0.9818515639642866,9.220068022841588e-06
1sg-1pl,french,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/french/attn_head_out_all_pos_patch_results_1sgto1pl_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/french/attn_head_out_all_pos_patch_results_1sgto1pl_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9661819136605052,0.9651117212934451,1.13703754323069e-05
1sg-1pl,italian,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/italian/attn_head_out_all_pos_patch_results_1plto1sg_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/italian/attn_head_out_all_pos_patch_results_1plto1sg_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9948518337130261,0.9942425600000018,3.4322381452511763e-06
1sg-1pl,italian,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/italian/attn_head_out_all_pos_patch_results_1sgto1pl_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/italian/attn_head_out_all_pos_patch_results_1sgto1pl_italian.pt,"(24, 16)","(24, 16)","(24, 16)",-0.9137586777678433,-0.9234577774581706,0.03267333284020424
1sg-1pl,portuguese,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/portuguese/attn_head_out_all_pos_patch_results_1plto1sg_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/portuguese/attn_head_out_all_pos_patch_results_1plto1sg_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9934157768266565,0.9931707876308294,5.79049947191379e-06
1sg-1pl,portuguese,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/portuguese/attn_head_out_all_pos_patch_results_1sgto1pl_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/portuguese/attn_head_out_all_pos_patch_results_1sgto1pl_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9817380825961056,0.9804671361452579,9.076612514036242e-06
1sg-1pl,spanish,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/spanish/attn_head_out_all_pos_patch_results_1plto1sg_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/spanish/attn_head_out_all_pos_patch_results_1plto1sg_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9969158194748226,0.9970145581696002,7.538228601333685e-06
1sg-1pl,spanish,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/spanish/attn_head_out_all_pos_patch_results_1sgto1pl_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/spanish/attn_head_out_all_pos_patch_results_1sgto1pl_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.963624167960124,0.9626415691195547,1.2084038644388784e-05
1sg-1pl,swedish,patch_results_1plto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/swedish/attn_head_out_all_pos_patch_results_1plto1sg_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/swedish/attn_head_out_all_pos_patch_results_1plto1sg_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9805428287188754,0.9813694203737715,0.00418501952663064
1sg-1pl,swedish,patch_results_1sgto1pl,mega_automation_edited/results/bigscience/bloom-1b1/1sg-1pl/swedish/attn_head_out_all_pos_patch_results_1sgto1pl_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-1pl/swedish/attn_head_out_all_pos_patch_results_1sgto1pl_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9713499559903154,0.9715743761056427,0.002694376977160573
1sg-2sg,catalan,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/catalan/attn_head_out_all_pos_patch_results_1sgto2sg_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/catalan/attn_head_out_all_pos_patch_results_1sgto2sg_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9877064454093443,0.9877008117334405,9.129828686127439e-05
1sg-2sg,catalan,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/catalan/attn_head_out_all_pos_patch_results_2sgto1sg_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/catalan/attn_head_out_all_pos_patch_results_2sgto1sg_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9897004562361071,0.9898091048214271,6.48230270599015e-05
1sg-2sg,english,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/english/attn_head_out_all_pos_patch_results_1sgto2sg_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/english/attn_head_out_all_pos_patch_results_1sgto2sg_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9939177441086532,0.9940312124319796,7.516082405345514e-05
1sg-2sg,english,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/english/attn_head_out_all_pos_patch_results_2sgto1sg_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/english/attn_head_out_all_pos_patch_results_2sgto1sg_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9954430854676861,0.9955646662272194,1.1693788110278547e-05
1sg-2sg,french,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_1sgto2sg_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_1sgto2sg_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9629626672627982,0.9629614155905083,2.8801325242966413e-05
1sg-2sg,french,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_2sgto1sg_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_2sgto1sg_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9777848176021208,0.9773643984077769,3.847370680887252e-05
1sg-2sg,italian,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_1sgto2sg_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_1sgto2sg_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9308710970024515,0.9360691224521147,4.9693480832502246e-05
1sg-2sg,italian,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_2sgto1sg_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_2sgto1sg_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9772058678270973,0.9768719223524958,3.7524081562878564e-05
1sg-2sg,portuguese,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_1sgto2sg_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_1sgto2sg_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.919352664502247,0.9201454057095357,3.597527393139899e-05
1sg-2sg,portuguese,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_2sgto1sg_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_2sgto1sg_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.988518258548692,0.9879079158988218,3.507620931486599e-06
1sg-2sg,spanish,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_1sgto2sg_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_1sgto2sg_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9692683291786375,0.9683725679785053,1.990402779483702e-05
1sg-2sg,spanish,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_2sgto1sg_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_2sgto1sg_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9885187319527886,0.9887510356208798,1.2670368050748948e-05
1sg-2sg,swedish,patch_results_1sgto2sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_1sgto2sg_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_1sgto2sg_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9668482648020251,0.9676526144003854,7.243062282213941e-05
1sg-2sg,swedish,patch_results_2sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_2sgto1sg_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_2sgto1sg_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9695774332982624,0.9704748739397174,0.00011061074474127963
1sg-3sg,catalan,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_1sgto3sg_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_1sgto3sg_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9596659760950412,0.9597825640113158,1.4492398804577533e-05
1sg-3sg,catalan,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_3sgto1sg_catalan.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_3sgto1sg_catalan.pt,"(24, 16)","(24, 16)","(24, 16)",0.9771323205483713,0.9770158585878952,1.6540860087843612e-05
1sg-3sg,english,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_1sgto3sg_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_1sgto3sg_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9952747403382457,0.995543612482337,1.904975579236634e-05
1sg-3sg,english,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_3sgto1sg_english.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_3sgto1sg_english.pt,"(24, 16)","(24, 16)","(24, 16)",0.9910127025698408,0.9907533145775758,9.389204024046194e-06
1sg-3sg,french,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_1sgto3sg_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_1sgto3sg_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.989038983010511,0.98883614270781,2.3851433070376515e-05
1sg-3sg,french,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_3sgto1sg_french.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_3sgto1sg_french.pt,"(24, 16)","(24, 16)","(24, 16)",0.9572463967269221,0.9582852357330017,104.6763687133789
1sg-3sg,italian,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_1sgto3sg_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_1sgto3sg_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9611537985807297,0.9604381571621438,0.0001026470199576579
1sg-3sg,italian,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_3sgto1sg_italian.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_3sgto1sg_italian.pt,"(24, 16)","(24, 16)","(24, 16)",0.9584195218645891,0.9571611981161625,5.2341001719469205e-05
1sg-3sg,portuguese,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_1sgto3sg_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_1sgto3sg_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9813752389944176,0.9822301933663045,1.2244690879015252e-05
1sg-3sg,portuguese,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_3sgto1sg_portuguese.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_3sgto1sg_portuguese.pt,"(24, 16)","(24, 16)","(24, 16)",0.9865937161685173,0.9865367439665925,2.2607759092352353e-05
1sg-3sg,spanish,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_1sgto3sg_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_1sgto3sg_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9857607637855066,0.985215557483399,7.722229383944068e-06
1sg-3sg,spanish,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_3sgto1sg_spanish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_3sgto1sg_spanish.pt,"(24, 16)","(24, 16)","(24, 16)",0.9870948823574701,0.9871436759663753,1.5069982509885449e-05
1sg-3sg,swedish,patch_results_1sgto3sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/swedish/attn_head_out_all_pos_patch_results_1sgto3sg_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/swedish/attn_head_out_all_pos_patch_results_1sgto3sg_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.959460876688528,0.9602413495307399,3.810000271187164e-05
1sg-3sg,swedish,patch_results_3sgto1sg,mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/swedish/attn_head_out_all_pos_patch_results_3sgto1sg_swedish.pt,mega_automation/results/bigscience/bloom-1b1/1sg-3sg/swedish/attn_head_out_all_pos_patch_results_3sgto1sg_swedish.pt,"(24, 16)","(24, 16)","(24, 16)",0.907304261867957,0.9101684156892225,0.00012542061449494213
